C01 - Bâtiments;;;;;;
Nature du contrat;Code de catégorie;Description de la catégorie;Catégorie;Code UNSPSC;Description du code UNSPSC;Description détaillée du code UNSPSC
Travaux de construction ;C01;Bâtiments;C01 - Bâtiments;30222113;Crématorium;Crématorium/Ouvrages permanents
Travaux de construction ;C01;Bâtiments;C01 - Bâtiments;30222114;Galeries d'art;Galeries d'art/Ouvrages permanents
Travaux de construction ;C01;Bâtiments;C01 - Bâtiments;30222115;Monuments préhistoriques;Monuments préhistoriques/Ouvrages permanents
Travaux de construction ;C01;Bâtiments;C01 - Bâtiments;30222116;Billetteries;Billetteries/Ouvrages permanents
Travaux de construction ;C01;Bâtiments;C01 - Bâtiments;30222300;Ouvrages - enseignement et recherche;Ouvrages - enseignement et recherche/Ouvrages permanents
Travaux de construction ;C01;Bâtiments;C01 - Bâtiments;30222301;Écoles;Écoles/Ouvrages permanents
Travaux de construction ;C01;Bâtiments;C01 - Bâtiments;30222302;Écoles polytechniques;Écoles polytechniques/Ouvrages permanents
Travaux de construction ;C01;Bâtiments;C01 - Bâtiments;30222303;Centres de formation professionnelle;Centres de formation professionnelle/Ouvrages permanents
Travaux de construction ;C01;Bâtiments;C01 - Bâtiments;30222304;Salles de conférence;Salles de conférence/Ouvrages permanents
Travaux de construction ;C01;Bâtiments;C01 - Bâtiments;30222305;Bibliothèques - édifice;Bibliothèques - édifice/Ouvrages permanents
Travaux de construction ;C01;Bâtiments;C01 - Bâtiments;30222306;Locaux de laboratoire de langue;Locaux de laboratoire de langue/Ouvrages permanents
Travaux de construction ;C01;Bâtiments;C01 - Bâtiments;30222307;Bâtiments de laboratoire;Bâtiments de laboratoire/Ouvrages permanents
Travaux de construction ;C01;Bâtiments;C01 - Bâtiments;30222308;Centres météorologiques;Centres météorologiques/Ouvrages permanents
Travaux de construction ;C01;Bâtiments;C01 - Bâtiments;30222309;Installations de recherche et d'essai;Installations de recherche et d'essai/Ouvrages permanents
Travaux de construction ;C01;Bâtiments;C01 - Bâtiments;30222400;Hôpitaux;Hôpitaux/Ouvrages permanents
Travaux de construction ;C01;Bâtiments;C01 - Bâtiments;30222401;Cliniques;Cliniques/Ouvrages permanents
Travaux de construction ;C01;Bâtiments;C01 - Bâtiments;30222402;Maisons de convalescence - centre de convalescence;Maisons de convalescence - centre de convalescence/Ouvrages permanents
Travaux de construction ;C01;Bâtiments;C01 - Bâtiments;30222403;Salles d'opération;Salles d'opération/Ouvrages permanents
Travaux de construction ;C01;Bâtiments;C01 - Bâtiments;30222404;Unités de soins intensifs;Unités de soins intensifs/Ouvrages permanents
Travaux de construction ;C01;Bâtiments;C01 - Bâtiments;30222405;Salles de diagnostic;Salles de diagnostic/Ouvrages permanents
Travaux de construction ;C01;Bâtiments;C01 - Bâtiments;30222406;Salles de triage;Salles de triage/Ouvrages permanents
Travaux de construction ;C01;Bâtiments;C01 - Bâtiments;30222407;Salles de radioscopie;Salles de radioscopie/Ouvrages permanents
Travaux de construction ;C01;Bâtiments;C01 - Bâtiments;30222408;Salles de pathologie;Salles de pathologie/Ouvrages permanents
Travaux de construction ;C01;Bâtiments;C01 - Bâtiments;30222409;Salles de fibroscopie;Salles de fibroscopie/Ouvrages permanents
Travaux de construction ;C01;Bâtiments;C01 - Bâtiments;30222500;Ouvrages - hébergement;Ouvrages - hébergement/Ouvrages permanents
Travaux de construction ;C01;Bâtiments;C01 - Bâtiments;30222501;Résidences;Résidences/Ouvrages permanents
Travaux de construction ;C01;Bâtiments;C01 - Bâtiments;30222502;Appartements;Appartements/Ouvrages permanents
Travaux de construction ;C01;Bâtiments;C01 - Bâtiments;30222503;Foyers pour enfants;Foyers pour enfants/Ouvrages permanents
Travaux de construction ;C01;Bâtiments;C01 - Bâtiments;30222504;Centres de jour;Centres de jour/Ouvrages permanents
Travaux de construction ;C01;Bâtiments;C01 - Bâtiments;30222505;Maisons de retraite;Maisons de retraite/Ouvrages permanents
Travaux de construction ;C01;Bâtiments;C01 - Bâtiments;30222506;Résidences pour personnes âgées;Résidences pour personnes âgées/Ouvrages permanents
Travaux de construction ;C01;Bâtiments;C01 - Bâtiments;30222507;Auberges de jeunesse;Auberges de jeunesse/Ouvrages permanents
Travaux de construction ;C01;Bâtiments;C01 - Bâtiments;30222600;Ouvrages sportifs et de mise en forme;Ouvrages sportifs et de mise en forme/Ouvrages permanents
Travaux de construction ;C01;Bâtiments;C01 - Bâtiments;30222601;Stades;Stades/Ouvrages permanents
Travaux de construction ;C01;Bâtiments;C01 - Bâtiments;30222602;Terrains de sport;Terrains de sport/Ouvrages permanents
Travaux de construction ;C01;Bâtiments;C01 - Bâtiments;30222603;Pistes d'athlétisme;Pistes d'athlétisme/Ouvrages permanents
Travaux de construction ;C01;Bâtiments;C01 - Bâtiments;30222604;Palais des sports;Palais des sports/Ouvrages permanents
Travaux de construction ;C01;Bâtiments;C01 - Bâtiments;30222605;Spas;Spas/Ouvrages permanents
Travaux de construction ;C01;Bâtiments;C01 - Bâtiments;30222606;Gymnases;Gymnases/Ouvrages permanents
Travaux de construction ;C01;Bâtiments;C01 - Bâtiments;30222607;Piscines;Piscines/Ouvrages permanents
Travaux de construction ;C01;Bâtiments;C01 - Bâtiments;30222608;Installations de sports aquatiques;Installations de sports aquatiques/Ouvrages permanents
Travaux de construction ;C01;Bâtiments;C01 - Bâtiments;30222700;Ouvrages industriels;Ouvrages industriels/Ouvrages permanents
Travaux de construction ;C01;Bâtiments;C01 - Bâtiments;30222701;Ateliers industriels;Ateliers industriels/Ouvrages permanents
Travaux de construction ;C01;Bâtiments;C01 - Bâtiments;30222702;Installations d'entreposage frigorifique;Installations d'entreposage frigorifique/Ouvrages permanents
Travaux de construction ;C01;Bâtiments;C01 - Bâtiments;30222703;Magasins-entrepôts;Magasins-entrepôts/Ouvrages permanents
Travaux de construction ;C01;Bâtiments;C01 - Bâtiments;30222800;Ouvrages - agriculture et pêche;Ouvrages - agriculture et pêche/Ouvrages permanents
Travaux de construction ;C01;Bâtiments;C01 - Bâtiments;30222801;Hangars agricoles;Hangars agricoles/Ouvrages permanents
Travaux de construction ;C01;Bâtiments;C01 - Bâtiments;30222802;Étables;Étables/Ouvrages permanents
Travaux de construction ;C01;Bâtiments;C01 - Bâtiments;30222900;Ouvrages militaires;Ouvrages militaires/Ouvrages permanents
Travaux de construction ;C01;Bâtiments;C01 - Bâtiments;30222901;Bunkers;Bunkers/Ouvrages permanents
Travaux de construction ;C01;Bâtiments;C01 - Bâtiments;30222902;Abris militaires;Abris militaires/Ouvrages permanents
Travaux de construction ;C01;Bâtiments;C01 - Bâtiments;30222903;Casernes;Casernes/Ouvrages permanents
Travaux de construction ;C01;Bâtiments;C01 - Bâtiments;30222904;Carré des officiers;Carré des officiers/Ouvrages permanents
Travaux de construction ;C01;Bâtiments;C01 - Bâtiments;30223000;Ouvrages religieux;Ouvrages religieux/Ouvrages permanents
Travaux de construction ;C01;Bâtiments;C01 - Bâtiments;30223001;Églises;Églises/Ouvrages permanents
Travaux de construction ;C01;Bâtiments;C01 - Bâtiments;30223002;Temples;Temples/Ouvrages permanents
Travaux de construction ;C01;Bâtiments;C01 - Bâtiments;30223003;Mosquées;Mosquées/Ouvrages permanents
Travaux de construction ;C01;Bâtiments;C01 - Bâtiments;70171800;Services de drainage;Services de drainage/Surveillance et développement des ressources aquatiques
Travaux de construction ;C01;Bâtiments;C01 - Bâtiments;70171801;Services de drainage des terres;Services de drainage des terres/Surveillance et développement des ressources aquatiques
Travaux de construction ;C01;Bâtiments;C01 - Bâtiments;70171802;Drainage des eaux de pluie;Drainage des eaux de pluie/Surveillance et développement des ressources aquatiques
Travaux de construction ;C01;Bâtiments;C01 - Bâtiments;70171803;Services de lutte contre les inondations;Services de lutte contre les inondations/Surveillance et développement des ressources aquatiques
Travaux de construction ;C01;Bâtiments;C01 - Bâtiments;71120000;Services d'entretien, de construction et de forage de puits;Services d'entretien, de construction et de forage de puits
Travaux de construction ;C01;Bâtiments;C01 - Bâtiments;72000000;Services - bâtiment, travaux de construction et entretien;Services - bâtiment, travaux de construction et entretien
Travaux de construction ;C01;Bâtiments;C01 - Bâtiments;72100000;Services de construction, de réparation et d'entretien d'immeubles;Services de construction, de réparation et d'entretien d'immeubles
Travaux de construction ;C01;Bâtiments;C01 - Bâtiments;72101500;Services de soutien - Travaux de construction;Services de soutien - Travaux de construction/Services de construction, de réparation et d'entretien d'immeubles
Travaux de construction;C01;Bâtiments;C01 - Bâtiments;72101506;Services de maintenance d'ascenseurs;Services de maintenance d'ascenseurs/Services de construction, de réparation et d'entretien d'immeubles
Travaux de construction ;C01;Bâtiments;C01 - Bâtiments;72101600;Travaux de couverture, de revêtement ou de tôlerie;Travaux de couverture, de revêtement ou de tôlerie/Services de construction, de réparation et d'entretien d'immeubles
Travaux de construction ;C01;Bâtiments;C01 - Bâtiments;72101601;Installation ou réparation de couvertures;Installation ou réparation de couvertures/Services de construction, de réparation et d'entretien d'immeubles
Travaux de construction ;C01;Bâtiments;C01 - Bâtiments;72101602;Installation de lanterneaux;Installation de lanterneaux/Services de construction, de réparation et d'entretien d'immeubles
Travaux de construction ;C01;Bâtiments;C01 - Bâtiments;72101603;Services de gouttières ou de descentes pluviales;Services de gouttières ou de descentes pluviales/Services de construction, de réparation et d'entretien d'immeubles
Travaux de construction ;C01;Bâtiments;C01 - Bâtiments;72101604;Tôlerie architecturale;Tôlerie architecturale/Services de construction, de réparation et d'entretien d'immeubles
Travaux de construction ;C01;Bâtiments;C01 - Bâtiments;72101605;Montage ou réparation de toitures;Montage ou réparation de toitures/Services de construction, de réparation et d'entretien d'immeubles
Travaux de construction ;C01;Bâtiments;C01 - Bâtiments;72101606;Installation de glissières;Installation de glissières/Services de construction, de réparation et d'entretien d'immeubles
Travaux de construction ;C01;Bâtiments;C01 - Bâtiments;72101607;Installation ou réparation de revêtements muraux extérieurs;Installation ou réparation de revêtements muraux extérieurs/Services de construction, de réparation et d'entretien d'immeubles
Travaux de construction ;C01;Bâtiments;C01 - Bâtiments;72101700;Travaux de bétonnage;Travaux de bétonnage/Services de construction, de réparation et d'entretien d'immeubles
